Run,brock400_1,brock400_2,brock400_3,brock400_4,MANN_a45,p_hat500-3,DSJC1000_5,p_hat1000-2,sanr400_0.7,p_hat700-3
1,72375,51492,38443,18347,81651,33565,36146,41422,18630,425690
2,71150,51582,38440,18343,81796,33505,36169,41481,18533,424675
3,71148,51585,38436,18403,81658,33530,36158,41452,18495,425656
4,71022,51494,38451,18448,81752,33562,36300,41390,18544,427104
5,71147,51573,38459,18326,81670,33520,36192,41397,18512,426465
6,71291,51650,38515,18361,81714,33529,36209,41552,18573,427024
7,70985,51454,38588,18351,81603,33545,36171,41581,18486,426421
8,71076,51662,38333,18376,81645,33564,36220,41429,18523,424706
9,71082,51586,38591,18541,81736,33489,36126,41521,18523,425403
10,71042,51437,38366,18338,81611,33546,36148,41476,18507,425776
11,71088,51625,38364,18326,81664,33618,36235,41496,18571,425907
12,71117,51363,38469,18314,81505,33677,36125,41426,18475,424705
13,71209,51615,38436,18336,81654,33591,36171,41480,18548,425735
14,71116,51481,38443,18447,81807,33509,36196,41425,18543,426049
15,71116,51463,38532,18361,81654,33508,36169,41493,18507,425458
16,71039,51479,38464,18320,81549,33508,36137,41463,18548,425964
17,71076,51527,38435,18395,81557,33502,36166,41452,18483,425231
18,71108,51440,38414,18471,81589,33589,36176,41529,18500,424953
19,71110,51468,38406,18334,81566,33501,36222,41457,18546,426229
20,71166,51440,38468,18394,81621,33576,36223,41460,18530,425395
21,71188,51460,38455,18326,81754,33592,36126,41363,18531,425873
22,71233,51432,38459,18399,81776,33501,36151,41414,18496,425904
23,71214,51539,38442,18340,81643,33573,36134,41393,18526,425242
24,71281,51359,38446,18387,81908,33608,36126,41456,18559,425721
25,71283,51598,38402,18346,81924,33480,36226,41456,18555,425288
26,71078,51729,38447,18466,81719,33578,36125,41456,18534,425330
27,71192,51444,38397,18347,81712,33629,36175,41461,18501,425033
28,71074,51417,38517,18472,81609,33541,36151,41469,18537,426070
29,71354,51573,38418,18403,81967,33515,36177,41449,18494,425813
30,71139,51529,38451,18398,81861,33694,36387,41555,18601,427095
31,71117,51418,38527,18394,81765,33724,36303,41745,18651,426852
32,71130,51479,38389,18362,81685,33651,36364,41662,18634,427416
33,71011,51740,38442,18350,81699,33760,36270,41708,18626,426843
34,70998,51476,38518,18345,81645,33758,36344,41638,18660,426951
35,71248,51677,38451,18344,82005,33649,36300,41656,18628,427165
36,71092,51708,38471,18323,82111,33630,36281,41681,18569,426792
37,71033,51654,38354,18380,82046,33668,36250,41689,18577,427614
38,71119,51398,38478,18545,82028,33705,36296,41629,18576,426624
39,71265,51439,38442,18362,82041,33625,36302,41629,18533,426992
40,71184,51455,38462,18417,82034,33663,36295,41606,18653,427112
41,71010,51443,38451,18333,82008,33724,36237,41629,18597,427239
42,71070,51427,38437,18367,81968,33675,36293,41716,18550,427177
43,71127,51396,38413,18327,82022,33625,36404,41620,18614,427339
44,71098,51523,38396,18425,81964,33721,36329,41571,18585,427735
45,71026,51453,38504,18406,82341,33692,36405,41683,18592,427219
46,71103,51415,38547,18328,82253,33732,36357,41718,18563,427038
47,71034,51703,38468,18345,81997,33698,36347,41631,18650,427480
48,71024,51651,38492,18326,81979,33704,36265,41635,18602,426899
49,71015,51532,38440,18505,82054,33730,36307,41652,18606,427605
50,71155,51455,38404,18523,82066,33634,36299,41625,18565,427319
